TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1
TXN	TRDX|TRX|TRX1
CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55
BRAF	B-RAF1|BRAF1|NS7|RAFB1
RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51
BCL2	Bcl-2|PPP1R50
PIK3CA	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha
PDGFRA	CD140A|GAS9|PDGFR-2|PDGFR2|RHEPDGFRA
NRAS	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6
MET	AUTS9|DFNB97|HGFR|RCCP2|c-Met
KRAS	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2
KIT	C-Kit|CD117|PBT|SCFR
JAK2	JTK10|THCYT3
HRAS	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras
ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl
ALK	CD246|NBLST3
FGFR2	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25
AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA
CSF1R	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R
KLF4	EZF|GKLF
PTTG1	EAP1|HPTTG|PTTG|TUTR1
USP6	HRP1|TRE17|TRE2|TRESMCR|Tre-2|USP6-short
URI1	C19orf2|NNX3|PPP1R19|RMP|URI
CBFB	PEBP2B
RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2
RUNX1	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha
CARD11	BENTA|BIMP3|CARMA1|IMD11|PPBL
GFI1B	BDPLT17|ZNF163B
TCL1A	TCL1
HMGA2	BABL|HMGI-C|HMGIC|LIPO|STQTL9
NCOA4	ARA70|ELE1|PTC3|RFG
KAT6A	MOZ|MRD32|MYST-3|MYST3|RUNXBP2|ZC2HC6A|ZNF220
DEK	D6S231E
YES1	HsT441|P61-YES|Yes|c-yes
TAL1	SCL|TCL5|bHLHa17|tal-1
AURKA	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7
SS18	SSXT|SYT
SRC	ASV|SRC1|c-SRC|p60-Src
SMO	FZD11|Gx|SMOH
SKI	SGS|SKV
BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1
NSD1	ARA267|KMT3B|SOTOS|SOTOS1|STO
SRSF2	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b
BCR	ALL|BCR1|CML|D22S11|D22S662|PHL
ROS1	MCF3|ROS|c-ros-1
BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51
BCL3	BCL4|D19S37
CCND1	BCL1|D11S287E|PRAD1|U21B31
RAF1	CMD1NN|CRAF|NS5|Raf-1|c-Raf
PTPN11	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2
PRKCI	DXS1179E|PKCI|nPKC-iota
PPP2R1A	MRD36|PP2A-Aalpha|PP2AAALPHA|PR65A
PML	MYL|PP8675|RNF71|TRIM19
PLAG1	PSA|SGPA|ZNF912
PIM1	PIM
NTRK1	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA
MYCN	MODED|N-myc|NMYC|ODED|bHLHe37
MYC	MRTL|MYCC|bHLHe39|c-Myc
MYB	Cmyb|c-myb|c-myb_CDS|efg
MPL	C-MPL|CD110|MPLV|THCYT2|TPOR
MOS	MSV
MLLT3	AF9|YEATS3
AFF1	AF4|MLLT2|PBM1
KMT2A	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL-AF9|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS
MDM2	ACTFS|HDMX|hdm2
MCF2	ARHGEF21|DBL
MAS1	MAS|MGRA
TBC1D3C	TBC1D3D
MAF	AYGRP|CCA4|CTRCT21|c-MAF
LMO2	RBTN2|RBTNL1|RHOM2|TTG2
JUN	AP-1|AP1|c-Jun
HOXA9	ABD-B|HOX1|HOX1.7|HOX1G
GNAS	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|POH|SCG6|SgVI
GLI1	GLI
SETBP1	MRD29|SEB
WWTR1	TAZ
LETMD1	1110019O13Rik|HCCR-1|HCCR-2|HCCR1|HCRR-2
FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS
PATZ1	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23
FOS	AP-1|C-FOS|p55
SUZ12	CHET9|JJAZ1
FLT3	CD135|FLK-2|FLK2|STK1
FLI1	EWSR2|SIC-1
FES	FPS
EZH2	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2
EWSR1	EWS|EWS-FLI1|bK984G1.4
ETV6	TEL|TEL/ABL|THC5
ETS2	ETS2IT1
ETS1	ETS-1|EWSR2|c-ets-1|p54
ERBB2	CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1
EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA
DDIT3	CEBPZ|CHOP|CHOP-10|CHOP10|GADD153
CTNNB1	CTNNB|MRD19|armadillo
CRK	CRKII|p38
AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47
PIM2	-
YAP1	COB1|YAP|YAP2|YAP65|YKI
CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1
