ACHE	ACEE|ARACHE|N-ACHE|YT
ACY1	ACY-1|ACY1D|HEL-S-5
ADARB1	ADAR2|DRABA2|DRADA2|RED1
ADPRH	ARH1
PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1
AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R
AHR	bHLHe76
AIF1	AIF-1|IBA1|IRT-1|IRT1
AKR1B1	ADR|ALDR1|ALR2|AR
ALOX15	12-LOX|15-LOX-1|15LOX-1
ALOX15B	15-LOX-2
ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP
AMH	MIF|MIS
BIN1	AMPH2|AMPHL|SH3P9
ANXA1	ANX1|LPC1
ANXA7	ANX7|SNX|SYNEXIN
APAF1	APAF-1|CED4
APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46
FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
ARF1	-
ARG1	-
RHOA	ARH12|ARHA|RHO12|RHOH12
RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6
RND3	ARHE|Rho8|RhoE|memB
PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A
ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
ASCL1	ASH1|HASH1|MASH1|bHLHa46
ASS1	ASS|CTLN1
ZFHX3	ATBF1|ATBT|ZNF927
ATF3	-
ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1
ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1
AZGP1	ZA2G|ZAG
BARD1	-
BAX	BCL2L4
BCR	ALL|BCR1|CML|D22S11|D22S662|PHL
CEACAM1	BGP|BGP1|BGPI
BIK	BIP1|BP4|NBK
PRDM1	BLIMP1|PRDI-BF1
BLM	BS|RECQ2|RECQL2|RECQL3
BMP2	BDA2|BMP2A
BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME
BMPR1A	10q23del|ACVRLK3|ALK3|CD292|SKR5
BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK
BNIP3L	BNIP3a|NIX
FOXL2	BPES|BPES1|PFRK|PINTO|POF3
BRCA1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53
BRCA2	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11
ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D
KLF5	BTEB2|CKLF|IKLF
BTK	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA
CAPG	AFCP|HEL-S-66|MCP
CASP2	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57
CASP5	ICE(rel)III|ICEREL-III|ICH-3
CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5
CAT	-
CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21
RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA
RUNX1	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB
CBFA2T3	ETO2|MTG16|MTGR2|ZMYND4
RUNX3	AML2|CBFA3|PEBP2aC
CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55
KRIT1	CAM|CCM1
CCNC	CycC
CD4	CD4mut
CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1
CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO
CDH4	CAD4|R-CAD|RCAD
CDH5	7B4|CD144
CDH11	CAD11|CDHOB|OB|OSF-4
CDH13	CDHH|P105
CDH17	CDH16|HPT-1|HPT1
CDK2	CDKN2|p33(CDK2)
CDK6	MCPH12|PLSTIRE
CDKN1A	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1
CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1
CDKN1C	BWCR|BWS|KIP2|WBS|p57|p57Kip2
CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16
CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b
CDKN2C	INK4C|p18|p18-INK4C
CDO1	-
CDX2	CDX-3|CDX2/AS|CDX3
CEBPA	C/EBP-alpha|CEBP
CEBPD	C/EBP-delta|CELF|CRP3|NF-IL6-beta
CFTR	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1
CHD1	-
CHEK1	CHK1
CHUK	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16
CLU	APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2
CNN1	HEL-S-14|SMCC|Sm-Calp
KLF6	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9
MAP3K8	COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT
CREBBP	CBP|KAT3A|RSTS
CREM	CREM-2|ICER|hCREM-2
CSF2	GMCSF
CSNK1A1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975
CST5	-
CST6	-
CTGF	CCN2|HCS24|IGFBP8|NOV2
CTNNA2	CAP-R|CAPR|CT114|CTNR
CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)
CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75
CYB5A	CYB5|MCB5
CYLD	BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2
DAB2	DOC-2|DOC2
DACH1	DACH
DAPK1	DAPK
DAPK3	DLK|ZIP|ZIPK
BRINP1	DBC1|DBCCR1|FAM5A
DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1
DCN	CSCD|DSPG2|PG40|PGII|PGS2|SLRR1B
DDB2	DDBB|UV-DDB2
GADD45A	DDIT1|GADD45
DDX3X	CAP-Rf|DBX|DDX14|DDX3|HLP2
DEFB1	BD1|DEFB-1|DEFB101|HBD1
DFFA	DFF-45|DFF1|ICAD
DFNA5	ICERE-1
DLG1	DLGH1|SAP-97|SAP97|dJ1061C18.1.1|hdlg
DMBT1	GP340|muclin
DMD	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85
DNMT1	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT
DNMT3A	DNMT3A2|M.HsaIIIA|TBRS
DNMT3B	ICF|ICF1|M.HsaIIIB
DOK1	P62DOK
DPH1	DPH2L|DPH2L1|OVCA1
DPP4	ADABP|ADCP2|CD26|DPPIV|TP103
DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP
DSP	DCWHKTA|DP|DPI|DPII
DUSP1	CL100|HVH1|MKP-1|MKP1|PTPN10
DUSP5	DUSP|HVH3
DUSP6	HH19|MKP3|PYST1
DUSP9	MKP-4|MKP4
E2F1	E2F-1|RBAP1|RBBP3|RBP3
E2F2	E2F-2
E2F3	E2F-3
ECT2	ARHGEF31
EDNRB	ABCDS|ET-B|ET-BR|ETB|ETBR|ETRB|HSCR|HSCR2|WS4A
EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1
EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS
EGR1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225
EGR2	AT591|CMT1D|CMT4E|KROX20
EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK
EMP1	CL-20|EMP-1|TMP
EMP2	NPHS10|XMP
EPAS1	ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73
EPB41	4.1R|EL1|HE
EPHA1	EPH|EPHT|EPHT1
EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4
EPHB2	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5
EPHB3	ETK2|HEK2|TYRO6
EPHB4	HTK|MYK1|TYRO11
EPHB6	HEP
ERBB4	ALS19|HER4|p180erbB4
EYA4	CMD1J|DFNA10
ERF	CRS4|PE-2|PE2
ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1
ESR2	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2
ESRRB	DFNB35|ERR2|ERRb|ESRL2|NR3B2
ETS2	ETS2IT1
ETV6	TEL|TEL/ABL
EXT1	EXT|LGCR|LGS|TRPS2|TTV
EXT2	SOTV
EXTL1	EXTL
EXTL2	EXTR2
EXTL3	BOTV|EXTL1L|EXTR1|REGR|RPR
EZH1	KMT6B
EZH2	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2
FABP3	FABP11|H-FABP|M-FABP|MDGI|O-FABP
FANCG	FAG|XRCC9
FBLN1	FBLN|FIBL1
FAT1	CDHF7|CDHR8|FAT|ME5|hFat1
FBP1	FBP
GPC5	-
FH	HLRCC|LRCC|MCL|MCUL1
FHIT	AP3Aase|FRA3B
FHL1	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA
FOXC1	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3
FOXO1	FKH1|FKHR|FOXO1A
FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A
FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD
FLT3	CD135|FLK-2|FLK2|STK1
FXN	CyaY|FA|FARR|FRDA|X25
FRK	GTK|PTK5|RAK
FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS
GALR1	GALNR|GALNR1
GAS1	-
GATA4	ASD2|TACHD|TOF|VSD1
GBP1	-
GJA1	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD
GJB2	CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK
GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1
GLI1	GLI
GNAT1	CSNBAD3|GBT1|GNATR
