1	0,95;172,207;302,571;944,2108;2848,3129;5842,6146;6470,8321
2	0,94;21595,21642;22694,22786;25690,25833;34868,35010;41553,41687;43683,43813;49363,49601;57214,57287;57380,57544;65026,65123;69396,69669;71613,71818;74499,74635;75633,75781;78795,86266
3	0,465;793,1071;2686,2869;3540,3590;3693,3852;4018,4070;5895,5915;6194,6362;6824,6908;8585,8705;9624,9738;9884,9993;11829,11990;14555,14782;15022,15085;16706,16848;17473,17847;20529,20690;21145,21256;22650,22764;24800,25028;25699,25873;26206,26327;26978,27029;35831,35955;36052,36248;36414,36590;36898,36985;38372,38528;38809,38883;39293,39473;41446,41669;43358,43576;43743,43870;45651,45741;46416,46484;47151,47489;48005,48565
4	0,241;710,893;1041,1110;1248,1410;7255,7307;12190,12463;13035,13194;13783,13867;14968,15094;15864,15978;16641,16750;18897,19064;20662,20889;22482,23030;23605,23750;25077,25226;26248,26442;27197,27287;27688,27802;29312,29540;29738,29864;31656,31777;32308,32359;33037,33120;34692,34868;35035,35392;35474,35630;38409,38483;38663,38825;41322,41536;45370,45585;45758,45885;46065,46155;46663,46731;51953,52055;52499,52540;52989,53342;53586,54313;58052,58144;64035,64529
5	0,22;8208,8291;8508,8597;8909,9046;13645,14332
6	0,133;25665,26152;26312,26755;27301,29177
7	0,175;1105,1538;7509,8669
8	0,302;2867,2987;3233,3521;3607,4299;9082,9620;9621,9770;10015,10566;15002,15263;15583,15904;16049,16139;16336,16429;16515,16582;16731,17126;17151,17408
9	0,338;8497,8600;11112,11232;12717,12991;20951,21064;25634,25733;26047,26144;27101,27328;35515,37414;37621,37702;39772,40415;41742,41889;49042,49178;52188,53386;54479,59657;60363,62895;63167,64081;68624,68693;69415,69474;70411,70813;71283,71485;76713,77954
10	0,263;3329,3551;6346,6415;10626,10823;13539,14451
11	0,257;6730,6952;10177,10246;11593,11764;23076,27423
12	0,229;3360,3576;4768,4831;9107,12644
13	0,167;6576,6792;17244,17307;21414,22539
14	0,105;1168,1281;1312,1555;1732,2087;2305,2438;3135,3303;4451,4583;13116,13190;18354,18563;21047,21222;22469,22551;23012,23108;24311,24372;25221,25285;26874,26980;29706,29807;30730,31477
15	0,213;331,598;3591,3644;3808,3913;9279,9410;13417,15726
16	0,58;459,966;12324,12458;18375,18565;18691,18787;19127,19216;23298,23381;28245,28496;33993,34156;34655,34706;45651,45733;46537,46633;51047,51151;51598,51647;52297,54162
17	0,326;30389,30774;31075,31472;117371,117489;129805,130110;131684,131826;142187,142632;143643,143724;144209,144341;147030,147133;149237,149316;153361,153515;155109,155395;159600,159878;164856,165118;166771,166928;168676,168780;174048,174480;178269,178364;191537,193293;193388,193489;195288,195893;197359,197469;198386,206562;207798,216352
18	0,132;10783,10903;19910,20146;21370,21519;34236,34373;48613,48708;51066,51252;55839,55940;57593,57647;63671,63807;79462,79676;96952,97323
19	0,291;517,875;2644,2877;3271,3410;3413,4886;5083,5237;5649,6134
20	0,431;5896,6015;8965,9129;12532,12881;14218,14376;15259,15558;15766,15976;16314,16766
21	0,323;3362,4166;8238,8467;19119,20474;34074,34459
22	0,481;4359,6288
23	0,122;6759,6923;12389,12577;12912,13057;17571,17762;19203,19347;19780,19925;21164,21272;21734,21884;23881,24005;24028,24585;27019,27197;28130,28499;30357,30563;31326,31510;33707,33815;34809,34922;35060,35153;35505,35624;35743,36087;36162,36275;36637,37248
24	0,245;1063,1254;1791,1936;2165,2332;2883,3027;5932,6077;6295,6403;6794,6832;6935,7046;7540,7673;8128,8272;8509,8681;8793,8906;9005,9145;9903,10040;10151,10260;10416,10524;10813,10935;11156,11266;11862,11945;12060,13672
25	0,96;261,392;2203,2323;3147,3556;6966,7360;7938,9408;9464,9649;10422,10774;12363,12698;13770,13972
26	0,146;3167,3438;4911,5749;9044,9360;15865,16057;32085,32326;32697,32803;33297,33469;33912,34104;36051,36166;37450,38580;42218,42381;43824,43946;44542,44673;48717,49221
27	0,75;741,787;1988,2392;3966,4191;15056,15177;15815,19153;21242,23209
28	0,119;10458,10763;14743,14919;17821,17905;25650,25717;25827,25973;27323,27401;27520,27647;29058,29206;30560,30682;31051,31162;42600,42659;42842,42909;45414,45535;45704,45830;51122,51232;51329,51437;52437,52577;58101,58268;61389,61492;62685,62780;64568,65418;66266,66444;67673,68633
29	0,341;1339,1530;4011,4421;4895,5032;37742,37856;39644,39845;40372,40536;41899,41982;70076,70197;72059,72279;82490,82810;102260,102366;105590,105838;105952,107996
30	0,139;263,395;31576,31709;33230,33421;34129,34175;34872,35016;37152,37607;38167,38285;38407,38494;39260,39419;39517,39650;41063,41147;41229,41350;42734,42883;43254,45876;45994,46141;46497,46697;47635,48782
31	0,146;38272,38340;38390,39314;40025,41068;46151,46369;48202,48277;61134,62908;63878,63889;71436,71533;73543,73572;75857,75974;82630,82745;83192,83241;85564,85864;89504,89584;90173,90265;91220,91705;93628,93691;94260,94408;98215,98352;100325,100492;101779,101925;104914,105025;106685,110010
32	0,302;24466,24623;39042,39135;43669,43810;45080,45198;66437,66799;69539,69715;72149,72671;82668,82760;87718,87958;90670,90809;91141,91257;95466,95663;96410,96615;97136,97312;99099,99321;101068,101289;102350,102646;103659,103772;105570,105741;106731,106862;108168,108310;108514,108651;109354,109574;110833,110905;111892,112094;113762,113810;114006,114119;115515,115663;117313,117437;118673,118771;121807,121996;123517,123611;124921,124953;126078,126183;127653,127727;128249,128418;129639,129816;131813,131928;132040,132184;133727,133850;134937,135066;135331,135451;136239,136301;137209,137315;139670,139811;140183,140317;141261,141364;141847,141939;142598,142841;143782,147235
33	0,205;634,847;4686,4779;5082,6220;6444,6571;6921,7530;7861,8228;8427,9496;9559,9744;9852,10019;10107,10203;10571,10744;10847,11420;11576,11726;11798,12002;12184,12348;12451,12631;12748,12960;13051,13247;13326,13508;13825,14009;14112,14232;14518,14754;14884,15090;15359,15461;15604,15920;15973,16210;16285,16437;16546,16657;16760,16820;16904,17078;17173,17515;17613,17949;18185,18939;19019,19153;19278,19381;19460,19571;19739,19971;20054,20191;20300,20686;20958,21695
